round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.00017767821555025876, 0.04888064041733742, 0.2359330654144287, 0.06684433668851852, 0.627784013748169, 0.020380226895213127]",4,1.0422652959823608
2,12163-0,"[0.00016983285604510456, 0.014322745613753796, 0.33734893798828125, 0.031140713021159172, 0.5787924528121948, 0.03822535276412964]",4,0.9781655073165894
2,12164-0,"[0.00045513524673879147, 0.08746740221977234, 0.16886135935783386, 0.1901494562625885, 0.5301859974861145, 0.022880619391798973]",4,1.2554514408111572
2,12165-0,"[0.00011262603948125616, 0.0028003843035548925, 0.4349440932273865, 0.030263684689998627, 0.49591320753097534, 0.035966046154499054]",4,0.9528529047966003
2,12166-0,"[0.0005933819338679314, 0.16922637820243835, 0.136482834815979, 0.21613478660583496, 0.44826313853263855, 0.029299447312951088]",4,1.3710498809814453
2,12167-0,"[0.0004109735309612006, 0.053070563822984695, 0.2718258500099182, 0.23325569927692413, 0.4106924533843994, 0.030744370073080063]",4,1.3251699209213257
3,12162-0,"[0.00017767830286175013, 0.04888062924146652, 0.2359328418970108, 0.06684433668851852, 0.627784252166748, 0.020380228757858276]",4,1.0422649383544922
3,12163-0,"[0.00016983294335659593, 0.014322745613753796, 0.33734914660453796, 0.03114071674644947, 0.578792154788971, 0.038225386291742325]",4,0.9781657457351685
3,12164-0,"[0.0004551357124000788, 0.08746740221977234, 0.16886134445667267, 0.1901494562625885, 0.5301859974861145, 0.022880619391798973]",4,1.2554514408111572
3,12165-0,"[0.00011262603948125616, 0.0028003815095871687, 0.4349440932273865, 0.03026365302503109, 0.49591320753097534, 0.03596603870391846]",4,0.9528528451919556
3,12166-0,"[0.0005933815846219659, 0.1692262887954712, 0.13648302853107452, 0.21613480150699615, 0.4482630491256714, 0.029299449175596237]",4,1.3710500001907349
3,12167-0,"[0.0004109734727535397, 0.053070615977048874, 0.2718258202075958, 0.2332558035850525, 0.410692423582077, 0.03074440360069275]",4,1.3251700401306152
4,12162-0,"[0.00017767827375791967, 0.048880670219659805, 0.2359328716993332, 0.06684435904026031, 0.6277841925621033, 0.020380225032567978]",4,1.0422651767730713
4,12163-0,"[0.00016983279783744365, 0.014322752133011818, 0.3373490571975708, 0.031140722334384918, 0.5787922739982605, 0.03822537884116173]",4,0.9781657457351685
4,12164-0,"[0.00045513518853113055, 0.08746738731861115, 0.16886138916015625, 0.19014950096607208, 0.5301859378814697, 0.02288062311708927]",4,1.2554514408111572
4,12165-0,"[0.00011262598854955286, 0.0028003801126033068, 0.434944212436676, 0.03026365488767624, 0.49591296911239624, 0.035966042429208755]",4,0.9528529047966003
4,12166-0,"[0.0005933821084909141, 0.16922636330127716, 0.136482834815979, 0.2161346822977066, 0.44826340675354004, 0.029299410060048103]",4,1.3710497617721558
4,12167-0,"[0.00041097341454587877, 0.05307063087821007, 0.2718258798122406, 0.23325559496879578, 0.4106925427913666, 0.030744383111596107]",4,1.3251699209213257
5,12162-0,"[0.00017767827375791967, 0.048880621790885925, 0.23593293130397797, 0.06684434413909912, 0.6277841925621033, 0.02038022130727768]",4,1.0422649383544922
5,12163-0,"[0.0001698326668702066, 0.014322747476398945, 0.3373490869998932, 0.031140703707933426, 0.5787922739982605, 0.03822537139058113]",4,0.9781656265258789
5,12164-0,"[0.0004551353631541133, 0.08746741712093353, 0.16886137425899506, 0.19014957547187805, 0.5301859378814697, 0.022880621254444122]",4,1.2554515600204468
5,12165-0,"[0.00011262603948125616, 0.0028003829065710306, 0.4349440932273865, 0.03026365302503109, 0.49591320753097534, 0.03596603125333786]",4,0.9528528451919556
5,12166-0,"[0.0005933817010372877, 0.16922639310359955, 0.13648280501365662, 0.2161346673965454, 0.44826337695121765, 0.02929939329624176]",4,1.3710496425628662
5,12167-0,"[0.00041097356006503105, 0.05307065322995186, 0.2718255817890167, 0.23325569927692413, 0.4106927216053009, 0.030744357034564018]",4,1.3251699209213257
6,12162-0,"[0.00017767830286175013, 0.048880644142627716, 0.2359328418970108, 0.06684432178735733, 0.627784252166748, 0.02038022316992283]",4,1.0422649383544922
6,12163-0,"[0.0001698329724604264, 0.01432274840772152, 0.3373490571975708, 0.03114071674644947, 0.5787922739982605, 0.03822537884116173]",4,0.9781657457351685
6,12164-0,"[0.0004551357706077397, 0.08746744692325592, 0.1688612848520279, 0.1901494860649109, 0.530186116695404, 0.022880617529153824]",4,1.2554514408111572
6,12165-0,"[0.00011262605403317139, 0.002800384536385536, 0.4349440634250641, 0.03026367910206318, 0.4959132671356201, 0.03596602752804756]",4,0.9528528451919556
6,12166-0,"[0.0005933818756602705, 0.16922643780708313, 0.13648280501365662, 0.2161346971988678, 0.4482632875442505, 0.029299413785338402]",4,1.3710497617721558
